Gene Name	max
DHX15	540.2801509999998
DHX29	171.069016
DHX30	232.740173
DHX32	120.286125
DHX33	28.174814
DHX34	182.083191
DHX35	43.701008
DHX36	110.441071
DHX37	64.68555500000001
DHX38	138.065094
DHX40	154.47898899999996
DHX57	104.858551
DHX8	85.992752
DHX9	302.177826
DICER1	151.531082
DIMT1	39.930824
DIS3	46.585957
DIS3L	88.80950899999998
DIS3L2	63.294346
DKC1	158.60716200000005
DNAAF2	46.399975
DNAAF6	19.273153
DNAJC17	57.499828
DNAJC21	120.749115
DND1	16.516428
DNMT1	162.96310400000004
DNMT3B	749.014282
DNTTIP2	73.158699
DQX1	52.009586
DRG1	524.66156
DRG2	61.396427
DROSHA	125.565773
DUS1L	131.031616
DUS2	109.247208
DUS3L	121.406876
DUS4L	28.527302
DUSP11	64.23307
DYNC1H1	554.171448
DYNLL1	643.076782
DZIP1	98.371605
DZIP1L	56.672001
DZIP3	101.129959
EARS2	55.741383
EBNA1BP2	333.31485
EDC3	39.519367
EDC4	101.179497
EED	51.636383
EEF1A1	15513.447266
EEF1A2	2975.599121
EEF1AKMT2	37.54607
EEF1B2	2189.477295
EEF1D	788.841125
EEF1E1	129.246429
EEF1G	2836.183105
EEF2	3693.229736
EEF2K	89.99218
EEFSEC	68.209641
EFL1	52.92714300000001
EFTUD2	130.123917
EIF1	514.132446
EIF1AD	41.179962
EIF1AX	184.011368
EIF1AY	208.583694
EIF1B	189.42157
EIF2A	267.903961
EIF2AK1	153.033508
EIF2AK2	175.47493
EIF2AK3	112.165665
EIF2AK4	112.773186
EIF2B1	76.768578
EIF2B2	45.894623
EIF2B3	106.498772
EIF2B4	106.368408
EIF2B5	53.151516
EIF2D	84.435005
EIF2S1	196.245911
EIF2S2	473.923645
EIF2S3	424.679688
EIF2S3B	49.340401
EIF3A	168.901367
EIF3B	457.685852
EIF3C	232.792404
EIF3CL	206.198959
EIF3D	480.87619000000007
EIF3E	754.734009
EIF3G	671.452087
EIF3H	469.326782
EIF3I	303.092041
EIF3J	108.667397
EIF3K	835.700195
EIF3L	548.605713
EIF3M	366.554993
EIF4A1	923.721191
EIF4A2	672.114319
EIF4A3	162.18074
EIF4B	748.669983
EIF4E	136.172379
EIF4E1B	3.5850660000000003
EIF4E2	104.751564
EIF4E3	107.7715
EIF4ENIF1	132.60861200000002
EIF4G1	349.989716
EIF4G2	745.6134030000002
EIF4G3	221.347427
EIF5	270.347565
EIF5A	670.694153
EIF5A2	24.744143
EIF5AL1	25.033529
EIF5B	178.272659
EIF6	576.962402
ELAC1	14.356737
ELAC2	97.273438
ELAVL1	59.278847
ELAVL2	82.441147
ELAVL3	217.94024700000003
ELAVL4	326.22229
ENDOG	276.872864
ENDOU	213.30249
ENDOV	39.387257
ENOX1	46.028702
ENOX2	19.840334
EPRS1	252.404617
ERAL1	51.357269
ERI1	73.87359599999998
ERI2	42.492119
ERI3	124.601494
ERN1	51.978577
ERN2	155.72966
ESF1	63.86898000000001
ESRP1	141.921951
ESRP2	71.60153199999998
ESS2	131.511353
ETF1	238.77604700000003
EWSR1	329.477509
EXO1	137.79161100000002
EXOG	36.056946
EXOSC1	75.376968
EXOSC10	154.7099
EXOSC2	122.399773
EXOSC3	59.211315
EXOSC4	212.046158
EXOSC5	73.404999
EXOSC6	63.501682
EXOSC7	80.652985
EXOSC8	215.927414
EXOSC9	106.758621
EZH2	113.380699
FAM120A	138.33016999999998
FAM120B	48.580215
FAM120C	17.374453
FAM98A	74.54966
FAM98B	27.509474
FAM98C	32.020267
FARS2	67.12966899999999
FARSA	154.26748700000005
FARSB	51.123291
FASTK	212.020142
FASTKD1	138.32394399999998
FASTKD2	117.610451
FASTKD3	29.044983
FASTKD5	58.196426
FAU	911.825928
FBL	753.041382
FBLL1	114.493492
FCF1	47.32869
FIP1L1	111.45414
FMC1-LUC7L2	35.526577
FMR1	167.627014
FRG1BP	43.402992
FTO	58.239311
FTSJ3	101.721336
FUBP1	190.012436
FUBP3	82.14780400000002
FUS	277.423187
FXR1	343.155792
FXR2	103.094086
FYTTD1	76.188011
G3BP1	214.004395
G3BP2	141.352798
GAPDH	24044.238281
GAR1	31.388592
GARS1	346.00766
GATB	97.87851
GATC	58.10963100000001
GCFC2	60.394825
GEMIN2	44.060135
GEMIN4	115.559242
GEMIN5	45.536118
GEMIN6	50.602684
GEMIN7	42.436043
GEMIN8	20.903879
GFM1	103.227501
GFM2	76.937714
GLE1	82.488167
GNL2	187.046951
GNL3	279.824768
GNL3L	38.258537
GPATCH1	36.306892
GPATCH4	35.553341
GPATCH8	70.541451
GRSF1	216.122604
GRWD1	35.57901
GSPT1	210.289673
GTF2F1	136.745239
GTF3A	373.445374
GTPBP1	660.840088
GTPBP10	22.565857
GTPBP2	165.40593
GTPBP3	38.326073
GTPBP4	103.208832
GUF1	78.089798
HABP4	113.753799
HARS1	73.72509000000002
HARS2	59.17915
HBS1L	152.38734399999996
HDLBP	822.8112179999998
HEATR1	126.729172
